t,t_start,t_end,start_min,end_min,price,load_kw,pv_kw,load_kwh,pv_kwh
110,18:10,18:20,1090,1100,1.2561,4122.7611,275.7933,687.1268499999999,45.96554999999999
111,18:20,18:30,1100,1110,1.2447,4255.9358,182.9526,709.3226333333333,30.492099999999997
112,18:30,18:40,1110,1120,1.2545,4225.9524,108.3414,704.3254,18.0569
113,18:40,18:50,1120,1130,1.2522,4233.3384,54.3121,705.5563999999999,9.052016666666667
114,18:50,19:00,1130,1140,1.2881,4246.4625,18.6569,707.7437499999999,3.1094833333333334
115,19:00,19:10,1140,1150,1.3466,4239.1795,0.2753,706.5299166666666,0.04588333333333333
116,19:10,19:20,1150,1160,1.3523,4244.6684,0.2296,707.4447333333333,0.038266666666666664
117,19:20,19:30,1160,1170,1.3445,4251.9187,0.6007,708.6531166666666,0.10011666666666666
118,19:30,19:40,1170,1180,1.3483,4256.6813,0.0,709.4468833333333,0.0
119,19:40,19:50,1180,1190,1.349,4267.3947,0.0,711.23245,0.0
120,19:50,20:00,1190,1200,1.3473,4269.975,0.0,711.6625,0.0
121,20:00,20:10,1200,1210,1.3482,4268.6702,0.0,711.4450333333332,0.0
122,20:10,20:20,1210,1220,1.3513,4282.2245,0.0,713.7040833333333,0.0
123,20:20,20:30,1220,1230,1.34,4291.7049,0.0,715.28415,0.0
124,20:30,20:40,1230,1240,1.3489,4291.3611,0.0,715.22685,0.0
125,20:40,20:50,1240,1250,1.3952,4293.9182,0.0,715.6530333333333,0.0
126,20:50,21:00,1250,1260,1.2226,4295.2135,0.0,715.8689166666666,0.0
127,21:00,21:10,1260,1270,0.9332,4302.0307,0.0,717.0051166666667,0.0
128,21:10,21:20,1270,1280,0.9068,4320.9618,0.0,720.1603,0.0
129,21:20,21:30,1280,1290,0.9371,4302.3292,0.0,717.0548666666666,0.0
130,21:30,21:40,1290,1300,0.9371,4322.6758,0.0,720.4459666666667,0.0
131,21:40,21:50,1300,1310,0.9871,4428.8083,0.0,738.1347166666666,0.0
132,21:50,22:00,1310,1320,0.7764,4030.1614,0.0,671.6935666666666,0.0
133,22:00,22:10,1320,1330,0.4209,3362.7419,0.0,560.4569833333333,0.0
134,22:10,22:20,1330,1340,0.3859,3309.3934,0.0,551.5655666666667,0.0
135,22:20,22:30,1340,1350,0.4368,3412.9563,0.0,568.8260499999999,0.0
136,22:30,22:40,1350,1360,0.4198,3381.9313,0.0,563.6552166666667,0.0
137,22:40,22:50,1360,1370,0.4186,3386.5592,0.0,564.4265333333333,0.0
138,22:50,23:00,1370,1380,0.4241,3400.4846,0.0,566.7474333333332,0.0
139,23:00,23:10,1380,1390,0.4237,3399.2426,0.0,566.5404333333333,0.0
140,23:10,23:20,1390,1400,0.4248,3406.9809,0.0,567.83015,0.0
141,23:20,23:30,1400,1410,0.424,3416.1518,0.0,569.3586333333333,0.0
142,23:30,23:40,1410,1420,0.422,3421.9811,0.0,570.3301833333333,0.0
143,23:40,23:50,1420,1430,0.424,3429.6923,0.0,571.6153833333333,0.0
144,23:50,24:00,1430,1440,0.4271,3439.061,0.0,573.1768333333333,0.0
